video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=1WlmGyN9VXs&pp=ygUId2V0bGFuZHM%3D,/@MooMooMath,MooMooMath and Science,"Types of Ecosystems-Wetlands-Marshes,Swamps,Bogs, and Fens",278K,8 years,Wetlands are transitional lands between lands and other bodies of water. There are four main types of wetlands Marsh Swamp ...,2026-01-21 23:46:37.055579
/watch?v=OKggI7WkRp4&pp=ygUId2V0bGFuZHM%3D,/@TheOhioDNR,OhioDNR,How Wetlands Work,50K,5 years,Wetlands are an efficient and cost effective way to remove excess nutrients in our waterways and improve water quality.,2026-01-21 23:46:37.056547
/watch?v=k9UbKlBc3W4&pp=ygUId2V0bGFuZHM%3D,/@wwtorguk,WWT,What are wetlands? | WWT,68K,5 years,"If rainforests are the lungs of the planet, then wetlands are the lifeblood. They're essential for all life. Their beautiful landscapes ...",2026-01-21 23:46:44.088851
/watch?v=Xe1vKGM8xBY&pp=ygUId2V0bGFuZHPSBwkJhwoBhyohjO8%3D,/@forestfilmstudio,Forest Film Studio,Wetlands work wonders,122K,2 years,"The Polish Birds Association (today ""Jestem na pTAK"" Association) decided to do a beaver job - stop the water in the 'Warta River ...",2026-01-21 23:46:44.090245
/watch?v=s1KDyFGGUuM&pp=ygUId2V0bGFuZHM%3D,/@LifeinWetland,Life in Wetland,Kerala Traditional Lunch with Dried Prawns | Village Cooking Experience | Dried Prawns Recipes.,189K,4 days,"A Simple Village Lunch with Traditional Dried Prawns Flavors” Today, I'm very happy to share a special Kerala village-style dried ...",2026-01-21 23:46:44.093948
/watch?v=Jcbmc_A7vy0&pp=ygUId2V0bGFuZHM%3D,/@TheWildReportOfficial,The Wild Report,Ecosystems Episode 5: The Wetland Ecosystem! (4K),106K,5 years,"A natural wonderland of plants, animals, and (of course) water, wetlands are considered the most biodiverse ecosystems on the ...",2026-01-21 23:46:44.095983
/watch?v=UIIq4n8kFu0&pp=ygUId2V0bGFuZHM%3D,/@FreeDocumentaryNature,Free Documentary - Nature,World of the Wild | Episode 8: The Wetlands | Free Documentary Nature,201K,2 years,World of the Wild - Episode 8: The Wetlands | Wildlife Documentary Watch 'World of the Wild - Episode 9' here: ...,2026-01-21 23:46:44.109078
/watch?v=4bRgUShrC1w&pp=ygUId2V0bGFuZHPSBwkJhwoBhyohjO8%3D,/@Geodiode,Geodiode,"Wetlands - Mangroves, Marshes and Bogs - Biomes#9",132K,4 years,The world's wetlands are aquatic biomes that are among the most complex and biodiverse on our planet. They can occur ...,2026-01-21 23:46:44.112968
/watch?v=vmxmbuBMnHU&pp=ygUId2V0bGFuZHM%3D,/@MossyEarth,Mossy Earth,How we are reviving an Ancient Icelandic Wetland,395K,6 months,"We are setting out to rewild an Icelandic wetland in a complex project involving, birds, freshwater habitats and large areas of ...",2026-01-21 23:46:44.116862
/watch?v=dCHlyd0nZJ0&pp=ygUId2V0bGFuZHM%3D,/@cornell_lab,Cornell Lab of Ornithology,AMERICA'S ARCTIC - TESHEKPUK WETLANDS,151K,1 year,"The abundant wetlands in America's Arctic, especially those concentrated around Teshekpuk Lake, are among the most extensive ...",2026-01-21 23:46:44.120446
/watch?v=KluWVxd49Bg&pp=ygUId2V0bGFuZHM%3D,/@MooMooMath,MooMooMath and Science,Types of Wetlands | Swamp-Marsh-Bog-Fen |,150K,6 years,"Wetlands are ecosystems found on Earth that are covered with water for most of the year. In this video, I cover the difference ...",2026-01-21 23:46:44.130492
/watch?v=H5qI2_zWHFs&pp=ygUId2V0bGFuZHM%3D,/@LearningMole,LearningMole,How Do Wetlands Help The Environment? | Wetlands Facts | Environmental Facts for Kids | Fun Facts,9K,2 years,How Do Wetlands Help The Environment? | Wetlands Facts | Environmental Facts for Kids | Fun Facts Pop over to ...,2026-01-21 23:46:44.133000
/watch?v=Amk4UNw9QlQ&pp=ygUId2V0bGFuZHM%3D,/@ducksunlimitedcanada,Ducks Unlimited Canada,Wetlands: A Powerful Carbon Sink,12K,4 years,"Wetland plants absorb carbon dioxide as they grow, and when they die, that carbon doesn't get released back into the ...",2026-01-21 23:46:44.134121
/watch?v=HzWLNaK4YCs&pp=ygUId2V0bGFuZHM%3D,/@bcwfbogblog,BCWF Watershed Team,Wetland Restoration Techniques - How to Build Wetlands That Will Last Forever by Tom Biebighauser,13K,3 years,"Join Tom Biebighauser, Wildlife Biologist and Wetland Ecologist to learn about wetland restoration techniques. Various ...",2026-01-21 23:46:44.140560
/watch?v=BeUPbGWg2KU&pp=ygUId2V0bGFuZHM%3D,/@EcologyWA,Washington Department of Ecology,Fabulous Wetlands with Bill Nye The Science Guy (1989),439K,13 years,"(Recorded in 1989) A wacky and entertaining video featuring Bill Nye ""The Science Guy"" talking about the importance of wetlands ...",2026-01-21 23:46:44.142319
/watch?v=m7d1hCf_q2U&pp=ygUId2V0bGFuZHM%3D,/@DWDocumentary,DW Documentary,Melting wetlands - How can nature slow down climate change? | DW Documentary,267K,1 year,"Bogs and swamps contain more carbon than all other ground vegetation. As the permafrost melts, greenhouse gases are ...",2026-01-21 23:46:44.146011
/watch?v=N_NBNt9nelo&pp=ygUId2V0bGFuZHM%3D,/@MangoJuniors,Mango Juniors,Lands |  Wetlands | Water Lands | 2D Animated | Part 1,112K,11 years,"Kids, let's learn about wetlands. What are wetlands? Lands that are soaked in water are called wetlands. Wetlands are highly ...",2026-01-21 23:46:51.936102
/watch?v=8Mm2tMIcEYE&pp=ygUId2V0bGFuZHM%3D,/@wwtorguk,WWT,Why Wetlands are Nature's Super-Systems | WWT,44K,5 years,Wetlands support a huge range of species - but did you know they are also useful for us? They provide many of what we call ...,2026-01-21 23:46:51.941928
/watch?v=V-aQLwnJKWc&pp=ygUId2V0bGFuZHM%3D,/@texasparksandwildlife,Texas Parks and Wildlife,Wondrous Wetlands | Whiteboard,78K,8 years,Wetlands are an in-between place where water settles. Learn about the benefits of wetlands and about threats to their survival.,2026-01-21 23:46:51.943619
